,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
138,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1,30.2,102,11.64,2.33,35.1,0.0973,388,136,0.61,7.6,44,1.79,Tsai,,
139,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,1,30.2,113,11.7,2.31,35.1,0.0926,388,125,0.68,11.45,88,2.7,Tsai,,
140,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,24,1,30.4,123,11.79,2.32,35.3,0.0915,388,126,0.68,15.22,142,3.59,Tsai,,
141,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,31,1,30.4,158,11.84,2.31,35.3,0.0896,386,125,0.68,19.02,206,4.48,Tsai,,
142,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,37,1,30.5,195,11.93,2.31,35.4,0.0881,386,123,0.7,22.85,279,5.39,Tsai,,
143,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,24,1,30.8,151,12.15,2.3,35.7,0.0824,386,125,0.71,15.34,143,3.62,Tsai,,
144,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1,30.9,96,12.2,2.3,35.7,0.0807,386,137,0.66,7.65,45,1.8,Tsai,,
145,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,3,1,31.2,77,12.4,2.31,36,0.0794,384,185,0.47,1.64,3,0.39,Tsai,,
146,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,1,25.4,73,8.68,2.08,30.9,0.0983,390,164,0.55,1.41,7,0.33,Tsai,,
147,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1,25.7,79,8.87,2.08,31.2,0.094,390,130,0.72,3.59,31,0.85,Tsai,,
148,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1,25.8,89,8.93,2.08,31.2,0.0921,390,120,0.77,7.19,100,1.69,Tsai,,
149,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,1,26.5,100,9.32,2.1,31.8,0.0885,389,113,0.82,11.06,201,2.61,Tsai,,
150,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,25,1,26.5,156,9.35,2.09,31.9,0.0851,389,118,0.81,15.13,336,3.57,Tsai,,
151,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,31,1,26.7,129,9.46,2.09,32,0.0837,389,109,0.87,18.62,474,4.39,Tsai,,
152,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,37,1,26.9,273,9.55,2.09,32.1,0.0825,389,108,0.88,22.43,644,5.29,Tsai,,
153,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1,27,85,9.63,2.08,32.3,0.078,389,124,0.8,7.52,103,1.77,Tsai,,
154,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,1,27.4,71,9.87,2.1,32.6,0.0771,389,167,0.59,1.52,7,0.36,Tsai,,
155,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,3,1,31,77,12.21,2.28,35.8,0.1017,390,150,0.55,0.35,3,0.08,Tsai,,
156,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,1,31,82,12.23,2.26,35.9,0.0963,390,132,0.65,0.58,8,0.14,Tsai,,
157,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1,30.7,85,12.06,2.24,35.6,0.0939,390,121,0.71,0.8,13,0.19,Tsai,,
158,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,9,1,30.6,91,11.94,2.22,35.5,0.0931,390,117,0.74,1.19,26,0.28,Tsai,,
159,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1,30.4,95,11.83,2.21,35.3,0.0929,390,117,0.74,1.58,42,0.37,Tsai,,
160,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,1,30.5,102,11.88,2.21,35.4,0.0912,390,113,0.77,2.38,83,0.56,Tsai,,
161,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,25,1,30.5,135,11.89,2.2,35.4,0.0895,390,112,0.78,3.18,136,0.75,Tsai,,
162,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,3,1.5,31.2,171,12.47,2.22,36.1,0.0821,387,216,0.56,0.33,3,0.08,Tsai,,
163,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,1.5,31.3,178,12.55,2.21,36.2,0.0788,387,209,0.61,0.54,7,0.13,Tsai,,
164,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1.5,31.3,188,12.51,2.19,36.1,0.0755,387,198,0.68,0.78,13,0.18,Tsai,,
165,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,9,1.5,31,200,12.31,2.16,35.9,0.0722,387,195,0.71,1.17,26,0.27,Tsai,,
166,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1.5,30.4,216,11.87,2.12,35.3,0.0715,387,196,0.72,1.56,43,0.37,Tsai,,
167,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,1.5,30.1,308,11.7,2.1,35.1,0.0696,388,193,0.76,2.33,83,0.55,Tsai,,
168,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,3,0.6,29.9,32,11.54,2.09,34.9,0.0683,388,88,0.65,0.35,3,0.08,Tsai,,
169,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,0.6,30.2,34,11.75,2.1,35.1,0.0671,388,77,0.71,0.78,13,0.18,Tsai,,
170,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,0.6,30.3,37,11.84,2.1,35.2,0.0658,388,74,0.73,1.57,43,0.37,Tsai,,
171,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,0.6,30.2,45,11.76,2.08,35.1,0.0634,388,72,0.77,2.36,84,0.56,Tsai,,
172,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,0.6,29.9,32,11.6,2.06,34.9,0.0616,385,106,0.6,0.32,3,0.08,Tsai,,
173,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,3,1,28.5,82,10.5,2.11,33.6,0.1015,390,154,0.57,0.15,2,0.04,Tsai,,
174,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,1,28.6,87,10.57,2.1,33.7,0.098,390,144,0.62,0.26,6,0.06,Tsai,,
175,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1,28.3,92,10.39,2.07,33.4,0.0946,390,137,0.67,0.37,11,0.09,Tsai,,
176,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,9,1,27.9,97,10.18,2.04,33.1,0.0929,390,137,0.68,0.52,21,0.12,Tsai,,
177,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1,27.9,102,10.18,2.04,33.1,0.092,390,137,0.68,0.69,35,0.16,Tsai,,
178,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,1,28,117,10.23,2.04,33.2,0.0903,390,133,0.71,1.02,67,0.24,Tsai,,
179,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,24,1,28.1,247,10.28,2.03,33.2,0.0886,390,134,0.7,1.35,108,0.32,Tsai,,
180,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,31,1,28.5,438,10.57,2.05,33.6,0.0865,390,139,0.69,1.69,157,0.4,Tsai,,
181,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,37,1,28.8,680,10.78,2.06,33.9,0.0839,387,126,0.75,2.04,214,0.48,Tsai,,
182,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,3,1.5,29.1,176,10.98,2.06,34.2,0.0809,387,230,0.53,0.15,3,0.03,Tsai,,
183,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,1.5,29.3,186,11.07,2.05,34.3,0.078,387,226,0.56,0.24,6,0.06,Tsai,,
184,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1.5,28.9,196,10.87,2.03,34,0.0751,387,218,0.61,0.34,11,0.08,Tsai,,
185,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,9,1.5,28.5,210,10.61,1.99,33.6,0.0722,387,214,0.65,0.48,21,0.11,Tsai,,
186,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1.5,28.3,225,10.5,1.98,33.5,0.0714,388,215,0.65,0.64,34,0.15,Tsai,,
187,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,0.6,28.3,31,10.46,1.98,33.4,0.0704,388,101,0.6,0.13,2,0.03,Tsai,,
188,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,0.6,28.2,35,10.38,1.97,33.3,0.0695,388,90,0.66,0.33,11,0.08,Tsai,,
189,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,0.6,28,39,10.26,1.94,33.1,0.0665,388,88,0.69,0.66,34,0.15,Tsai,,
190,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,0.6,27.2,57,9.81,1.9,32.5,0.0647,387,89,0.71,1,68,0.23,Tsai,,
191,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,3,1,19.1,17,5.86,1.76,25.9,0.0998,437,263,0.67,3.92,18,1.13,Tsai,,
192,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,6,1,18.4,17,5.61,1.71,25.3,0.0966,413,234,0.77,7.35,52,2.12,Tsai,,
193,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,12,1,18.2,18,5.55,1.69,25.2,0.0935,413,231,0.81,14.34,164,4.14,Tsai,,
194,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,18,1,17.9,20,5.44,1.68,25,0.093,410,223,0.86,21.41,323,6.18,Tsai,,
195,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,24,1,17.6,22,5.34,1.66,24.7,0.0923,406,215,0.9,28.31,521,8.17,Tsai,,
196,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,37,1,17.3,29,5.22,1.64,24.5,0.0909,399,205,0.96,42,1018,12.13,Tsai,,
197,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,49,1,17.1,50,5.17,1.63,24.4,0.0898,400,200,1.02,55.61,1641,16.05,Tsai,,
198,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,67,1,17.5,150,5.29,1.63,24.6,0.0837,401,198,1.06,76.06,2798,21.96,Tsai,,
199,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,2,2.3,20,74,6.22,1.74,26.5,0.082,402,327,0.7,2.72,11,0.79,Tsai,,
200,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,4,2.3,20.7,72,6.52,1.77,27.1,0.0803,398,323,0.68,4.81,28,1.39,Tsai,,
201,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,6,2.3,21.3,71,6.79,1.8,27.6,0.0785,394,312,0.75,6.75,51,1.95,Tsai,,
202,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,9,2.3,22.1,74,7.11,1.83,28.2,0.0778,396,310,0.78,10.22,101,2.95,Tsai,,
203,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,12,2.3,22.7,77,7.41,1.86,28.7,0.0775,393,309,0.76,13.68,163,3.95,Tsai,,
204,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,24,2.3,23.2,91,7.62,1.88,29.1,0.0761,394,303,0.85,27.29,514,7.88,Tsai,,
205,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,37,2.3,23.5,110,7.79,1.89,29.3,0.0744,394,297,0.91,41.26,1022,11.91,Tsai,,
206,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,49,2.3,23.8,160,7.92,1.9,29.5,0.0738,392,288,0.99,55.1,1643,15.91,Tsai,,
207,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,61,1.5,23.6,166,7.85,1.89,29.4,0.0724,392,239,1.03,69.55,2397,20.08,Tsai,,
208,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,37,1.5,23.8,56,7.94,1.89,29.6,0.0708,393,251,0.94,41.88,1027,12.09,Tsai,,
209,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,24,1.5,23.7,41,7.89,1.88,29.5,0.069,392,259,0.9,27.88,522,8.05,Tsai,,
210,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,18,1.5,23.7,37,7.92,1.87,29.5,0.0671,391,264,0.86,20.87,324,6.02,Tsai,,
211,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,12,1.5,23.8,35,7.94,1.87,29.6,0.0656,391,272,0.8,13.92,165,4.02,Tsai,,
212,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,6,1.5,23.8,35,7.97,1.87,29.6,0.0652,391,283,0.73,6.91,51,2,Tsai,,
213,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,3,1.5,24,32,8.02,1.87,29.7,0.0647,390,296,0.63,3.44,16,0.99,Tsai,,
214,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,2,1,23.8,16,7.95,1.86,29.6,0.0643,390,262,0.61,2.66,10,0.77,Tsai,,
215,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,3,1,22.6,17,7.29,1.93,28.6,0.0985,397,228,0.68,3.44,33,0.99,Tsai,,
216,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,4,1,22.4,17,7.21,1.91,28.4,0.0956,396,217,0.75,5.14,67,1.48,Tsai,,
217,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,6,1,22.2,17,7.15,1.9,28.3,0.0926,396,212,0.79,7.35,125,2.12,Tsai,,
218,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,9,1,21.9,18,7,1.87,28,0.0897,395,208,0.83,10.86,247,3.14,Tsai,,
219,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,12,1,21.8,19,6.97,1.86,28,0.089,396,206,0.86,14.39,399,4.16,Tsai,,
220,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,18,1,21.7,41,6.91,1.85,27.8,0.0883,396,200,0.9,21.44,781,6.19,Tsai,,
221,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,24,1,21.9,25,7.01,1.85,28,0.0843,396,192,0.95,28.31,1259,8.17,Tsai,,
222,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,37,1,21.7,219,6.95,1.83,27.9,0.0818,395,194,0.97,42.31,2472,12.21,Tsai,,
223,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,49,1,21.7,347,6.95,1.82,27.9,0.0802,394,191,0.99,56.16,3972,16.21,Tsai,,
224,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,61,1,22,463,7.09,1.83,28.1,0.0777,395,192,1.01,70.36,5775,20.31,Tsai,,
225,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,12,1,22.1,18,7.12,1.83,28.2,0.0761,395,206,0.91,14.11,398,4.07,Tsai,,
226,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,3,1.5,22.5,31,7.29,1.84,28.5,0.0746,397,288,0.67,3.36,36,0.97,Tsai,,
227,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,6,1.5,22.2,33,7.18,1.82,28.3,0.073,397,275,0.8,6.95,124,2.01,Tsai,,
228,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,9,1.5,22,34,7.07,1.81,28.1,0.0714,396,271,0.83,10.25,243,2.96,Tsai,,
229,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,12,1.5,21.7,35,6.97,1.79,27.9,0.0705,396,269,0.85,13.48,392,3.89,Tsai,,
230,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,18,1.5,21.5,45,6.88,1.78,27.7,0.07,396,263,0.91,20.19,776,5.83,Tsai,,
231,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,24,1.5,21.4,104,6.83,1.77,27.6,0.0689,396,261,0.97,26.57,1237,7.67,Tsai,,
232,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,37,1.5,21.5,291,6.87,1.77,27.7,0.0675,397,258,1.01,39.61,2426,11.44,Tsai,,
233,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,49,1.5,21.6,401,6.92,1.77,27.8,0.067,396,252,1.05,52.69,3905,15.21,Tsai,,
234,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,25,1.5,21.7,135,6.94,1.77,27.8,0.0664,397,268,0.92,26.49,1244,7.65,Tsai,,
235,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,3,1.5,23,34,7.5,1.83,28.9,0.1024,392,273,0.68,0.33,11,0.09,Tsai,,
236,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,4,1.5,23.5,36,7.74,1.84,29.4,0.0998,390,266,0.72,0.49,22,0.14,Tsai,,
237,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,6,1.5,23.4,36,7.69,1.83,29.2,0.0972,390,262,0.76,0.7,41,0.2,Tsai,,
238,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,9,1.5,22.8,39,7.43,1.79,28.8,0.0946,390,259,0.81,1.05,84,0.3,Tsai,,
239,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,13,1.5,22.6,40,7.32,1.77,28.6,0.092,390,257,0.84,1.43,144,0.41,Tsai,,
240,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,18,1.5,22.3,43,7.18,1.75,28.3,0.0909,390,253,0.88,2.01,255,0.58,Tsai,,
241,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,25,1.5,22.2,50,7.14,1.74,28.3,0.0893,390,249,0.92,2.69,415,0.78,Tsai,,
242,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,37,1.5,22.1,99,7.11,1.73,28.2,0.0876,391,245,0.98,3.97,797,1.15,Tsai,,
243,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,49,1.5,22.3,437,7.2,1.74,28.3,0.086,390,236,1.06,5.34,1300,1.54,Tsai,,
244,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,3,1,22.6,17,7.37,1.75,28.6,0.0838,390,233,0.73,0.35,14,0.1,Tsai,,
245,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,6,1,22.6,18,7.35,1.74,28.6,0.0815,388,226,0.78,0.67,41,0.19,Tsai,,
246,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,9,1,22.5,19,7.33,1.73,28.6,0.0793,388,223,0.82,0.95,73,0.28,Tsai,,
247,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,12,1,22.5,20,7.31,1.72,28.5,0.077,388,220,0.84,1.33,128,0.38,Tsai,,
248,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,18,1,22.5,21,7.31,1.71,28.5,0.0761,388,213,0.89,2.01,254,0.58,Tsai,,
249,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,25,1,22.4,24,7.29,1.71,28.5,0.0747,388,209,0.94,2.71,415,0.78,Tsai,,
250,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,37,1,22.4,29,7.26,1.7,28.4,0.0734,388,206,0.96,4.04,806,1.17,Tsai,,
251,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,49,1,22.5,151,7.33,1.7,28.5,0.0722,387,198,1.04,5.45,1314,1.57,Tsai,,
252,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,61,1,22.7,363,7.44,1.71,28.7,0.0717,388,194,1.06,6.83,1894,1.97,Tsai,,
253,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,3,0.6,22.9,7,7.51,1.7,28.8,0.0674,389,180,0.73,0.32,12,0.09,Tsai,,
254,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,13,0.6,22.7,9,7.44,1.69,28.7,0.0654,388,160,0.86,1.44,141,0.42,Tsai,,
255,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,24,0.6,22.5,10,7.35,1.68,28.6,0.0651,389,151,0.93,2.73,409,0.79,Tsai,,
256,M250X,3.1,250,60,0.017,0.0241,0.0119,237.1073,,237.11,37,0.6,22.6,12,7.37,1.67,28.6,0.063,390,147,0.97,4.16,823,1.2,Tsai,,
257,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,3,1.5,26,57,8.99,2.12,31.4,0.0974,391,276,0.64,4.04,14,0.95,Tsai,,
258,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,4,1.5,26.2,58,9.11,2.12,31.6,0.0951,390,267,0.71,6.47,31,1.52,Tsai,,
259,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,6,1.5,26.1,59,9.07,2.11,31.5,0.0927,392,262,0.76,9.06,55,2.13,Tsai,,
260,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,9,1.5,25.8,61,8.9,2.08,31.2,0.0904,394,259,0.81,13.12,104,3.09,Tsai,,
261,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,12,1.5,25.5,64,8.77,2.06,31,0.088,392,257,0.83,17.26,167,4.07,Tsai,,
262,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,18,1.5,25.6,69,8.8,2.05,31,0.0868,392,253,0.87,25.7,327,6.06,Tsai,,
263,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,24,1.5,25.8,74,8.91,2.06,31.2,0.0856,391,250,0.89,34.25,528,8.07,Tsai,,
264,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,37,1.5,25.9,94,8.96,2.06,31.3,0.0842,392,242,0.96,51.38,1039,12.11,Tsai,,
265,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,49,1.5,26.1,142,9.12,2.07,31.5,0.0825,391,237,1.01,68.57,1679,16.16,Tsai,,
266,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,61,1.5,26.3,203,9.19,2.07,31.6,0.0812,390,230,1.08,85.94,2440,20.26,Tsai,,
267,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,61,1,26.9,150,9.56,2.08,32.2,0.0754,388,182,1.06,87.21,2467,20.56,Tsai,,
268,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,49,1,27,90,9.63,2.08,32.3,0.0743,389,185,1.04,69.61,1698,16.41,Tsai,,
269,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,37,1,27,52,9.64,2.07,32.3,0.0728,387,191,1,52.02,1050,12.26,Tsai,,
270,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,24,1,27,36,9.65,2.06,32.3,0.0708,387,200,0.95,34.57,535,8.15,Tsai,,
271,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,18,1,27.1,32,9.7,2.05,32.3,0.0662,389,207,0.94,25.63,329,6.04,Tsai,,
272,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,12,1,27.2,30,9.74,2.05,32.4,0.0655,391,216,0.89,17.04,167,4.02,Tsai,,
273,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,9,1,27.2,28,9.76,2.04,32.4,0.0645,389,222,0.85,12.76,104,3.01,Tsai,,
274,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,6,1,27.3,28,9.82,2.05,32.5,0.0635,386,229,0.8,8.14,49,1.92,Tsai,,
275,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,3,1,27.1,27,9.73,2.03,32.4,0.0625,387,250,0.67,3.52,12,0.83,Tsai,,
276,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,5,0.6,27.4,11,9.87,2.04,32.6,0.0615,388,173,0.75,6.25,32,1.47,Tsai,,
277,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,12,0.6,26.9,13,9.62,2.02,32.2,0.0613,388,162,0.83,16.82,167,3.97,Tsai,,
278,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,24,0.6,26.9,15,9.62,2.01,32.2,0.0605,386,149,0.9,33.63,529,7.93,Tsai,,
279,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,49,0.6,27.1,49,9.73,2.02,32.4,0.0603,385,137,0.97,67.61,1685,15.94,Tsai,,
280,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,3,1,27.9,27,10.14,2.23,33.1,0.0959,388,211,0.72,4.2,34,0.99,Tsai,,
281,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,6,1,28.2,29,10.31,2.23,33.3,0.0928,386,193,0.83,9.23,130,2.18,Tsai,,
282,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,10,1,27.7,33,9.98,2.19,32.8,0.0897,385,187,0.89,14.33,278,3.38,Tsai,,
283,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,12,1,27.4,49,9.85,2.17,32.6,0.0888,386,181,0.95,17.79,407,4.19,Tsai,,
284,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,18,1,27.4,34,9.85,2.16,32.6,0.0872,386,179,0.97,26.53,799,6.25,Tsai,,
285,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,24,1,27.4,39,9.82,2.15,32.6,0.0856,385,177,1,35.32,1290,8.33,Tsai,,
286,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,37,1,27.4,257,9.81,2.14,32.6,0.0844,385,177,1.01,52.54,2528,12.38,Tsai,,
287,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,49,1,27.6,396,9.93,2.15,32.7,0.0836,386,170,1.07,70.13,4089,16.53,Tsai,,
288,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,2,1.5,27.5,57,9.93,2.14,32.7,0.0801,388,274,0.7,3.41,26,0.8,Tsai,,
289,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,4,1.5,27.9,57,10.17,2.14,33,0.0766,383,266,0.74,6.33,74,1.49,Tsai,,
290,M252Y,3,252,45,0.017,0.0241,0.0119,237.1073,,237.11,6,1.5,27.9,58,10.16,2.12,33,0.0732,387,258,0.84,8.72,128,2.06,Tsai,,
