,Packing Type,Height,specific area,void fraction,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
819,RSR 0.3,2.94,307,0.96,73.4,0.59,26.6,,9.34,2.16,31.9,0.1,404,102,0.8,,,,Wang,,
820,RSR 0.3,2.94,307,0.96,6.1,0.99,28,,10.27,2.23,33.3,0.11,401,203,0.61,,,,Wang,,
821,RSR 0.3,2.94,307,0.96,12.2,0.99,27.6,,10,2.21,32.9,0.11,401,187,0.69,,,,Wang,,
822,RSR 0.3,2.94,307,0.96,24.5,0.99,27.3,,9.82,2.19,32.7,0.11,401,175,0.76,,,,Wang,,
823,RSR 0.3,2.94,307,0.96,36.7,0.99,26.9,,9.56,2.17,32.3,0.11,401,169,0.81,,,,Wang,,
824,RSR 0.3,2.94,307,0.96,48.9,0.99,26.5,,9.3,2.15,31.9,0.11,401,167,0.83,,,,Wang,,
825,RSR 0.3,2.94,307,0.96,61.2,0.99,26.6,,9.35,2.16,31.9,0.1,401,162,0.86,,,,Wang,,
826,RSR 0.3,2.94,307,0.96,6.1,1.48,29.4,,11.11,2.32,34.4,0.1,393,244,0.65,,,,Wang,,
827,RSR 0.3,2.94,307,0.96,12.2,1.49,28.8,,10.67,2.28,33.8,0.1,393,233,0.73,,,,Wang,,
828,RSR 0.3,2.94,307,0.96,24.5,1.49,28.2,,10.32,2.25,33.3,0.1,393,223,0.8,,,,Wang,,
829,RSR 0.3,2.94,307,0.96,12.2,1.65,23.2,,7.57,1.98,29.1,0.1,393,253,0.76,,,,Wang,,
960,RSR 1.5,3,120,0.98,6.2,0.6,32.7,,,2.55,374,,376.7,180,0.97,,,,Song,0.00%,0.101
961,RSR 1.5,3,120,0.98,12.2,0.6,32.7,,,2.54,374,,377,169.1,1.06,,,,Song,0.00%,0.102
962,RSR 1.5,3,120,0.98,24.4,0.6,32.6,,,2.54,373,,377.4,154.4,1.18,,,,Song,0.00%,0.102
963,RSR 1.5,3,120,0.98,36.6,0.59,32.6,,,2.54,373,,373.5,139.3,1.25,,,,Song,0.00%,0.104
964,RSR 1.5,3,120,0.98,48.9,0.6,32.6,,,2.54,373,,374.7,134,1.34,,,,Song,0.00%,0.103
965,RSR 1.5,3,120,0.98,61.1,0.6,32.6,,,2.54,373,,375.7,128,1.4,,,,Song,0.00%,0.103
966,RSR 1.5,3,120,0.98,73.3,0.6,32.6,,,2.54,373,,377,120.9,1.48,,,,Song,0.00%,0.102
967,RSR 1.5,3,120,0.98,6.2,0.99,34,,,2.64,385,,367.6,235.4,0.98,,,,Song,0.00%,0.094
968,RSR 1.5,3,120,0.98,12.2,0.99,34,,,2.64,385,,367.6,224.9,1.08,,,,Song,0.00%,0.094
969,RSR 1.5,3,120,0.98,24.5,0.99,34.2,,,2.65,387,,367.7,210.4,1.21,,,,Song,0.00%,0.095
970,RSR 1.5,3,120,0.98,36.7,0.99,35.3,,,2.73,398,,362.8,197.3,1.28,,,,Song,0.00%,0.096
971,RSR 1.5,3,120,0.98,48.9,0.99,34.8,,,2.7,393,,365.9,195.1,1.34,,,,Song,0.00%,0.096
972,RSR 1.5,3,120,0.98,61.1,0.99,34.6,,,2.68,391,,366.5,188.2,1.43,,,,Song,0.00%,0.095
973,RSR 1.5,3,120,0.98,73.3,0.99,34.5,,,2.67,390,,367.1,183.1,1.5,,,,Song,0.00%,0.095
974,RSR 1.5,3,120,0.98,6.1,1.49,31.1,,,2.43,358,,373,280,1.01,,,,Song,0.00%,0.094
975,RSR 1.5,3,120,0.98,12.2,1.48,31.1,,,2.44,359,,373.2,273.6,1.09,,,,Song,0.00%,0.094
976,RSR 1.5,3,120,0.98,24.4,1.48,31.2,,,2.44,359,,374,264.4,1.21,,,,Song,0.00%,0.094
977,RSR 1.5,3,120,0.98,36.7,1.48,31.3,,,2.45,360,,373.2,256.1,1.31,,,,Song,0.00%,0.094
978,RSR 1.5,3,120,0.98,48.9,1.49,31.5,,,2.46,362,,371.7,248,1.39,,,,Song,0.00%,0.097
979,RSR 1.5,3,120,0.98,61.1,1.48,31.3,,,2.45,360,,372.3,242.2,1.49,,,,Song,0.00%,0.096
980,RSR 1.5,3,120,0.98,73.3,1.48,31.3,,,2.45,360,,372.5,235.7,1.59,,,,Song,0.00%,0.095
981,RSR 1.5,3,120,0.98,36.7,1.98,33.8,,,2.62,383,,367.3,272.2,1.33,,,,Song,0.00%,0.092
982,RSR 1.5,3,120,0.98,36.7,2.47,34.1,,,2.63,385,,367.3,287.8,1.37,,,,Song,0.00%,0.09
