,Unnamed: 0,Packing Type,Height,specific area,void fraction,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
0,772,RSR 0.5,0.0,0.6951871657754011,0.5,0.0,0.0,0.13989637305699476,,0.109375,0.10909090909090913,0.005341880341880351,1.0,0.9537037037037042,0.4642857142857142,0.02970297029702973,,,,Wang,,
1,773,RSR 0.5,0.0,0.6951871657754011,0.5,0.09063893016344723,0.0,0.1347150259067359,,0.10456730769230771,0.10000000000000009,0.0050747863247863345,1.0,0.9537037037037042,0.30612244897959173,0.17821782178217815,,,,Wang,,
2,774,RSR 0.5,0.0,0.6951871657754011,0.5,0.2734026745913818,0.0,0.15025906735751293,,0.12019230769230771,0.11818181818181817,0.005608974358974367,1.0,0.9537037037037042,0.2142857142857142,0.26732673267326723,,,,Wang,,
3,775,RSR 0.5,0.0,0.6951871657754011,0.5,0.4546805349182763,0.0,0.16062176165803121,,0.12620192307692302,0.12727272727272743,0.006143162393162399,1.0,0.9537037037037042,0.18367346938775508,0.29702970297029696,,,,Wang,,
4,776,RSR 0.5,0.0,0.6951871657754011,0.5,0.6359583952451707,0.0,0.1658031088082902,,0.13221153846153855,0.12727272727272743,0.006143162393162399,1.0,0.9537037037037042,0.1785714285714285,0.30693069306930687,,,,Wang,,
5,777,RSR 0.5,0.0,0.6951871657754011,0.5,0.8172362555720653,0.0,0.21243523316062196,,0.17307692307692313,0.17272727272727284,0.008012820512820526,1.0,0.9537037037037042,0.1377551020408163,0.3465346534653465,,,,Wang,,
6,778,RSR 0.5,0.0,0.6951871657754011,0.5,0.9999999999999999,0.005319148936170193,0.1917098445595854,,0.15384615384615385,0.15454545454545454,0.007211538461538464,1.0,0.9537037037037042,0.1020408163265305,0.40594059405940586,,,,Wang,,
7,779,RSR 0.5,0.0,0.6951871657754011,0.5,0.0,0.21276595744680843,0.37305699481865295,,0.3377403846153846,0.3090909090909091,0.014690170940170943,1.0,0.8611111111111107,0.7091836734693876,0.04950495049504955,,,,Wang,,
8,780,RSR 0.5,0.0,0.6951871657754011,0.5,0.09063893016344723,0.21276595744680843,0.34196891191709866,,0.30528846153846145,0.28181818181818175,0.013621794871794879,1.0,0.8611111111111107,0.5714285714285713,0.20792079207920788,,,,Wang,,
9,781,RSR 0.5,0.0,0.6951871657754011,0.5,0.2719167904903417,0.21276595744680843,0.3264248704663214,,0.2872596153846154,0.26363636363636367,0.012820512820512817,1.0,0.8611111111111107,0.4999999999999999,0.29702970297029696,,,,Wang,,
10,782,RSR 0.5,0.0,0.6951871657754011,0.5,0.4531946508172362,0.21276595744680843,0.31088082901554415,,0.2704326923076923,0.25454545454545463,0.012286324786324784,1.0,0.8611111111111107,0.4591836734693877,0.3564356435643563,,,,Wang,,
11,783,RSR 0.5,0.0,0.6951871657754011,0.5,0.6359583952451707,0.21276595744680843,0.2901554404145078,,0.25,0.23636363636363633,0.01121794871794872,1.0,0.8611111111111107,0.43877551020408156,0.38613861386138604,,,,Wang,,
12,784,RSR 0.5,0.0,0.6951871657754011,0.5,0.8172362555720653,0.21276595744680843,0.27461139896373077,,0.23557692307692302,0.2272727272727273,0.010683760683760687,1.0,0.8611111111111107,0.3928571428571428,0.4554455445544554,,,,Wang,,
13,785,RSR 0.5,0.0,0.6951871657754011,0.5,0.0,0.4734042553191488,0.051813471502590636,,0.039663461538461564,0.036363636363636376,0.001869658119658127,1.0,1.0,0.9999999999999999,0.08910891089108919,,,,Wang,,
14,786,RSR 0.5,0.0,0.6951871657754011,0.5,0.09063893016344723,0.4734042553191488,0.031088082901554515,,0.02043269230769229,0.018181818181818077,0.0010683760683760646,1.0,1.0,0.8877551020408162,0.2574257425742573,,,,Wang,,
15,787,RSR 0.5,0.0,0.6951871657754011,0.5,0.2734026745913818,0.4734042553191488,0.005181347150259197,,0.0012019230769230171,0.0,0.0,1.0,1.0,0.8163265306122448,0.3762376237623761,,,,Wang,,
16,788,RSR 0.5,0.0,0.6951871657754011,0.5,0.4546805349182763,0.47872340425531906,0.005181347150259197,,0.0012019230769230171,0.0,0.0,1.0,1.0,0.7602040816326529,0.4752475247524752,,,,Wang,,
17,789,RSR 0.5,0.0,0.6951871657754011,0.5,0.2734026745913818,0.5638297872340423,0.0,,0.0,0.0,0.0,0.5000000000000009,1.0,0.8571428571428571,0.4257425742574257,,,,Wang,,
18,790,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.0,0.0,0.5803108808290157,,0.5853365384615383,0.509090909090909,0.023504273504273504,0.5000000000000009,0.8842592592592595,0.34183673469387743,0.29702970297029696,,,,Wang,,
19,791,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.09063893016344723,0.0,0.5751295336787566,,0.5817307692307692,0.509090909090909,0.023504273504273504,0.5000000000000009,0.8842592592592595,0.2499999999999999,0.41584158415841577,,,,Wang,,
20,792,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.2719167904903417,0.0,0.5699481865284975,,0.5733173076923077,0.5000000000000002,0.023237179487179488,0.5000000000000009,0.8842592592592595,0.18367346938775508,0.5148514851485149,,,,Wang,,
21,793,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.4546805349182763,0.0,0.5751295336787566,,0.5793269230769229,0.509090909090909,0.023237179487179488,0.5000000000000009,0.8842592592592595,0.14795918367346927,0.5643564356435642,,,,Wang,,
