,Unnamed: 0,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
21,21,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.226315789,0.873188406,0.038557214,0.796677215,0.890151515,0.031313131,0.672155689,0.508644222,0.516025641,0.294117647,0.044039189,0.002505792,0.044032922,Tsai,,
22,22,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.226315789,0.862318841,0.041044776,0.780063291,0.878787879,0.030808081,0.628742515,0.526842584,0.487179487,0.344537815,0.085992822,0.007895608,0.08600823,Tsai,,
23,23,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.315789474,0.226315789,0.865942029,0.052238806,0.786392405,0.878787879,0.030976431,0.612275449,0.545040946,0.439102564,0.428571429,0.171549132,0.025294312,0.171604938,Tsai,,
24,24,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.495844875,0.226315789,0.873188406,0.099502488,0.797468354,0.878787879,0.031313131,0.585329341,0.554140127,0.416666667,0.478991597,0.256862935,0.049832159,0.256790123,Tsai,,
25,25,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.662049861,0.226315789,0.873188406,0.304726368,0.799841772,0.878787879,0.031313131,0.570359281,0.57233849,0.384615385,0.537815126,0.34110971,0.079996218,0.341152263,Tsai,,
26,26,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.828254848,0.226315789,0.876811594,0.384328358,0.80221519,0.875,0.031313131,0.549401198,0.590536852,0.375,0.571428571,0.42555049,0.115928325,0.425514403,Tsai,,
27,27,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.994459834,0.226315789,0.880434783,0.478855721,0.811708861,0.878787879,0.031649832,0.535928144,0.608735214,0.358974359,0.605042017,0.511882821,0.157392085,0.511934156,Tsai,,
28,28,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.828254848,0.015789474,0.90942029,0.282338308,0.860759494,0.890151515,0.032828283,0.480538922,0.608735214,0.192307692,0.462184874,0.43001261,0.117015744,0.430041152,Tsai,,
29,29,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.662049861,0.015789474,0.916666667,0.206467662,0.871835443,0.890151515,0.032996633,0.458083832,0.563239308,0.205128205,0.445378151,0.343680279,0.080610846,0.343621399,Tsai,,
30,30,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.495844875,0.015789474,0.916666667,0.055970149,0.872626582,0.886363636,0.033164983,0.432634731,0.517743403,0.221153846,0.420168067,0.257638956,0.049973997,0.257613169,Tsai,,
31,31,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.315789474,0.015789474,0.916666667,0.018656716,0.877373418,0.886363636,0.033164983,0.408682635,0.472247498,0.224358974,0.411764706,0.171209623,0.025341591,0.171193416,Tsai,,
32,32,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.015789474,0.923913043,0.01119403,0.890822785,0.886363636,0.033501684,0.365269461,0.417652411,0.262820513,0.344537815,0.085265302,0.007942887,0.085185185,Tsai,,
33,33,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.015789474,0.927536232,0.009950249,0.897943038,0.882575758,0.033670034,0.339820359,0.372156506,0.304487179,0.294117647,0.042729654,0.002505792,0.042798354,Tsai,,
34,34,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.024930748,0.015789474,0.93115942,0.008706468,0.905063291,0.882575758,0.033838384,0.318862275,0.326660601,0.378205128,0.201680672,0.019400524,0.000614628,0.019341564,Tsai,,
35,35,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.024930748,0.489473684,0.942028986,0.085820896,0.918512658,0.886363636,0.034175084,0.297904192,0.326660601,0.762820513,0.193277311,0.01964303,0.000614628,0.019753086,Tsai,,
36,36,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.489473684,0.938405797,0.09079602,0.912974684,0.882575758,0.034006734,0.276946108,0.344858963,0.71474359,0.285714286,0.042147638,0.002458513,0.04218107,Tsai,,
37,37,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.489473684,0.923913043,0.099502488,0.891613924,0.875,0.033501684,0.275449102,0.363057325,0.685897436,0.344537815,0.082015714,0.00780105,0.082098765,Tsai,,
38,38,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.315789474,0.489473684,0.913043478,0.121890547,0.871044304,0.863636364,0.032996633,0.267964072,0.390354868,0.66025641,0.411764706,0.162673392,0.024868801,0.162757202,Tsai,,
39,39,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.495844875,0.489473684,0.90942029,0.359452736,0.865506329,0.859848485,0.032828283,0.236526946,0.40855323,0.615384615,0.521008403,0.242506548,0.048933857,0.242592593,Tsai,,
40,40,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.662049861,0.489473684,0.905797101,0.441542289,0.856012658,0.856060606,0.032491582,0.224550898,0.426751592,0.608974359,0.554621849,0.322776215,0.079050636,0.322839506,Tsai,,
41,41,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.828254848,0.489473684,0.898550725,0.529850746,0.848892405,0.848484848,0.032323232,0.196107784,0.444949955,0.602564103,0.596638655,0.402027355,0.114557231,0.402057613,Tsai,,
42,42,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.024930748,0.226315789,0.829710145,0.036069652,0.726265823,0.867424242,0.029461279,0.70508982,0.481346679,0.532051282,0.277310924,0.018721505,0.001418373,0.01872428,Tsai,,
43,43,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.226315789,0.829710145,0.039800995,0.727848101,0.859848485,0.029461279,0.640718563,0.481346679,0.458333333,0.394957983,0.042390145,0.005673491,0.042386831,Tsai,,
