,Packing Type,Height,Pack. Config,System,Column Diameter,a wall,specific wall area,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
27,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,73.0,1.0,32.0,392.0,13.01,2.41,36.8,0.089,428.0,152.0,1.12,105.67,3331.0,24.91,Tsai,,
28,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,61.0,0.6,32.8,234.0,13.63,2.44,37.5,0.0853,428.0,100.0,0.95,88.79,2477.0,20.93,Tsai,,
29,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,49.0,0.6,33.0,173.0,13.77,2.44,37.6,0.0838,423.0,104.0,0.93,70.99,1707.0,16.73,Tsai,,
30,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,0.6,33.0,52.0,13.78,2.43,37.7,0.0821,418.0,109.0,0.9,53.25,1059.0,12.55,Tsai,,
31,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,24.0,0.6,33.0,22.0,13.84,2.43,37.7,0.0805,413.0,110.0,0.89,35.43,538.0,8.35,Tsai,,
32,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,0.6,33.2,16.0,14.01,2.43,37.9,0.0776,407.0,122.0,0.81,17.71,170.0,4.17,Tsai,,
33,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,0.6,33.3,15.0,14.1,2.42,38.0,0.0759,402.0,135.0,0.75,8.94,55.0,2.11,Tsai,,
34,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,3.0,0.6,33.4,14.0,14.19,2.42,38.1,0.0745,397.0,158.0,0.64,4.13,15.0,0.97,Tsai,,
35,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,3.0,1.5,33.7,76.0,14.36,2.43,38.3,0.0731,397.0,278.0,0.63,4.18,15.0,0.99,Tsai,,
36,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,1.5,33.6,80.0,14.29,2.42,38.2,0.0717,399.0,263.0,0.74,8.82,54.0,2.08,Tsai,,
37,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,1.5,33.2,87.0,14.02,2.4,37.9,0.0716,401.0,254.0,0.81,17.04,167.0,4.02,Tsai,,
38,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,24.0,1.5,32.9,105.0,13.76,2.37,37.6,0.0711,404.0,246.0,0.89,33.67,528.0,7.94,Tsai,,
39,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,1.5,32.8,296.0,13.69,2.36,37.5,0.069,406.0,232.0,1.02,50.13,1037.0,11.82,Tsai,,
40,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,49.0,1.5,32.7,362.0,13.57,2.35,37.3,0.0682,408.0,230.0,1.06,66.68,1674.0,15.72,Tsai,,
41,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,61.0,1.5,32.5,433.0,13.48,2.33,37.2,0.0663,410.0,228.0,1.11,83.02,2425.0,19.57,Tsai,,
42,M250Y,3.1,Config 3,Low surf tens,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,3.0,1.0,30.6,36.0,11.93,2.38,35.5,0.1003,414.0,206.0,0.73,3.99,32.0,0.94,Tsai,,
43,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,1.0,30.6,39.0,11.95,2.36,35.5,0.096,414.0,183.0,0.87,8.87,122.0,2.09,Tsai,,
44,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,1.0,30.5,48.0,11.87,2.34,35.4,0.0947,414.0,170.0,0.95,17.3,380.0,4.08,Tsai,,
45,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,24.0,1.0,30.5,54.0,11.85,2.34,35.3,0.0936,410.0,166.0,0.98,34.56,1210.0,8.15,Tsai,,
46,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,1.0,30.6,143.0,11.99,2.34,35.5,0.0913,410.0,163.0,1.0,51.65,2378.0,12.17,Tsai,,
47,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,49.0,1.0,31.0,395.0,12.26,2.35,35.8,0.0896,411.0,154.0,1.08,68.81,3836.0,16.22,Tsai,,
48,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,61.0,1.0,31.3,555.0,12.44,2.35,36.1,0.0876,411.0,149.0,1.13,86.2,5575.0,20.32,Tsai,,
49,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,3.0,1.5,31.6,73.0,12.71,2.36,36.4,0.0854,401.0,260.0,0.73,4.28,37.0,1.01,Tsai,,
50,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,1.5,31.8,76.0,12.88,2.37,36.6,0.0832,401.0,245.0,0.83,8.65,121.0,2.04,Tsai,,
51,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,1.5,31.7,83.0,12.79,2.35,36.5,0.081,402.0,235.0,0.92,17.01,383.0,4.01,Tsai,,
